Transaction ID,Transaction Time,Sender ID,Receiver ID,Amount,Currency,Currency Hash,Currency Type,Amount [USD],Receiver Type,Label
0x8b4275354a09992d7e17d401b51f334e07abc10b38df713ec349dea1e39eae8a,2022-04-18 09:54:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x0e38a4b9b58abd2f4c9b2d5486ba047a47606781,0,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,0,Wallet,0
0x31ea010276a02518fef0f1bf2e36d424155b028ba4a4b9a653708592d0166784,2022-04-18 09:52:18 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x0e38a4b9b58abd2f4c9b2d5486ba047a47606781,0,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,0,Wallet,0
0x571247df9ec89811cc7568ab16201be8db0af86cfa6e6b6e06f3b5f33de0ea18,2022-04-17 13:06:10 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.02458799,ETH,0x0000000000000000000000000000000000000000,,75.39558019,Smart Contract,0
0xbca771b2d90daa9735b21f8d0e25e0267e185ab1bf4e93a6e799cf31184c04f3,2022-04-17 13:04:49 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x4307011e9bad016f70aa90a23983f9428952f2a2,0.063307566,ETH,0x0000000000000000000000000000000000000000,,194.1236624,Wallet,0
0xbca771b2d90daa9735b21f8d0e25e0267e185ab1bf4e93a6e799cf31184c04f3,2022-04-17 13:04:49 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.082735164,ETH,0x0000000000000000000000000000000000000000,,253.6956332,Smart Contract,0
0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7,2022-04-17 12:24:16 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x79224bc0bf70ec34f0ef56ed8251619499a59def,60562844.06,BEANLUSD-f,0xd652c40fbb3f06d6b58cb9aa9cff063ee63d465d,ERC20,60562844.06,Smart Contract,1
0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7,2022-04-17 12:24:16 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x79224bc0bf70ec34f0ef56ed8251619499a59def,874663982.2,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,874663982.2,Smart Contract,1
0xcd314668aaa9bbfebaf1a0bd2b6553d01dd58899c508d4729fa7311dc5d33ad7,2022-04-17 12:24:16 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x79224bc0bf70ec34f0ef56ed8251619499a59def,0.540716101,UNI-V2,0x87898263b6c5babe34b4ec53f22d98430b91e371,ERC20,13174719.46,Smart Contract,1
0xf8ffb369d62e1d33e057dab37775f3ee8f103647a8b094073d7332b64e712bb1,2022-04-17 12:21:53 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x6647bb406ca87924f7039c67e5d01f3763fa888b,0.00015772,UNI-V2,0x87898263b6c5babe34b4ec53f22d98430b91e371,ERC20,0,Wallet,0
0x66a3a42afd7913f13ff6630d00f80969f1998ac64347623a260b8679c86e08ad,2022-04-17 12:18:32 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87a774178d49c919be273f1022de2ae106e2581e,3.75E-05,ETH,0x0000000000000000000000000000000000000000,,0.114988426,Wallet,0
0x66a3a42afd7913f13ff6630d00f80969f1998ac64347623a260b8679c86e08ad,2022-04-17 12:18:32 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.0075,ETH,0x0000000000000000000000000000000000000000,,22.99768511,Smart Contract,0
0x2bf0d51940a203f246e9b1b5dbb34cac3c87a32109098ed06fe0127589f92a8f,2022-04-17 12:15:58 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.268400324,ETH,0x0000000000000000000000000000000000000000,,823.0114845,Smart Contract,0
0x7fedd4c7890faa7969542b8f65a84cdeef818319d1a753786bdf2d051c09f590,2022-04-17 12:12:23 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.422806901,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,1290.95459,DEX,0
0x7fedd4c7890faa7969542b8f65a84cdeef818319d1a753786bdf2d051c09f590,2022-04-17 12:12:23 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1258.627422,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,271.4422202,DEX,0
0x7fedd4c7890faa7969542b8f65a84cdeef818319d1a753786bdf2d051c09f590,2022-04-17 12:12:23 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1262.365504,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,272.2483946,DEX,0
0x8aaed33cc2063c588571abf79c525a05d4cafe92db5a8758705cc894b283fe67,2022-04-17 12:07:23 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7cc8880e3d74611e301faaa5c8a05d3d8fcb3f18,162433.7564,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,35031.31959,Wallet,0
0xf80949747064b1da642d6ef9be429baf367a43e950e1581f5905c1e4084c46f3,2022-04-17 12:06:45 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x24294915f8b5831d710d40c277916edc0fa0ec39,18020.95306,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,0,Wallet,0
0x86858de8779c728c37f6d29ef46d3b50ec5487c18d031ad6b57f3695ed697765,2022-04-17 12:03:19 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.000158246,UNI-V2,0x87898263b6c5babe34b4ec53f22d98430b91e371,ERC20,0,DEX,0
0x5f7be927f92d6663d082d61695c1ad02077c5beea42cd6787c41849eae7e0fb2,2022-04-17 12:02:54 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x6647bb406ca87924f7039c67e5d01f3763fa888b,25539.21141,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,5507.920871,Wallet,0
0xf890b38b3ab7d93a3fe70a59850e5f667e37908eff43b52056526a50f4a77eb2,2022-04-17 12:02:54 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x0bbe643d5d9dd0498d0c9546f728504a4aab78f4,491171.7505,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,0,Wallet,0
0x01956d61f3bba11bd156ecb54adabfba2e53fe7d261c5195d6c5945fbd887261,2022-04-17 12:00:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xf086898a7db69da014d79f7a86cc62d29f84d7b7,79710.32325,BEAN3CRV-f,0x3a70dfa7d2262988064a2d051dd47521e43c9bdd,ERC20,0,Wallet,0
0x7ce840d596cde534a8d87cb827e3c51ab18fcf25bd2e1c957fd0aeb37666a1bc,2022-04-17 12:00:12 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x758917f2c8d3192fc9f109fe1ee0556808248cc0,1187.066581,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,256.0090322,Wallet,0
0xfc33f522367aae3dc231c6432021e00ca69b3c053bcde94ce03addc33ff19a12,2022-04-17 12:00:12 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xf086898a7db69da014d79f7a86cc62d29f84d7b7,2209.493089,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,476.510919,Wallet,0
0x9a512326a4328a1c9e3cb44451440ef7d7272a6dc45cd8bd29eeb928d25047fa,2022-04-17 11:49:01 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x5dfbb2344727462039eb18845a911c3396d91cf2,14754.36109,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,3182.003237,Wallet,0
0x6fb82d74c6f193fc0921939f974755bcce82d8ef9098dbe6e6143925e9e78a78,2022-04-17 11:43:57 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xf6fbdecb1193f6b15659ce747bfc561e06f1214a,1055.394608,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,227.6119609,Wallet,0
0x17918a83ef157040e689b1016b78497aac61516ec969272636490f88a9c0ad3e,2022-04-17 11:43:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x0f35218b2005f24a617996b691e71bcb433a329d,1.00E-06,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,2.16E-07,Wallet,0
0x17918a83ef157040e689b1016b78497aac61516ec969272636490f88a9c0ad3e,2022-04-17 11:43:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.019969973,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,60.97423729,DEX,0
0x17918a83ef157040e689b1016b78497aac61516ec969272636490f88a9c0ad3e,2022-04-17 11:43:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,59.435209,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,12.81811027,DEX,0
0x17918a83ef157040e689b1016b78497aac61516ec969272636490f88a9c0ad3e,2022-04-17 11:43:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.020030027,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,61.15759993,DEX,0
0x17918a83ef157040e689b1016b78497aac61516ec969272636490f88a9c0ad3e,2022-04-17 11:43:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.04,ETH,0x0000000000000000000000000000000000000000,,122.6543206,Token,0
0x1af953a0ffe36d3a27109ddb5b0a52435692172542bc7f7918b58eef11885962,2022-04-17 11:42:45 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x8c93ea0ddaaa29b053e935ff2acd6d888272470b,1764.580933,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,380.5588196,Wallet,0
0xf284cd301c809877567a125d39beec0c131a7f2a253d1787c0e71c86f10bbd5d,2022-04-17 11:35:18 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x9260ae742f44b7a2e9472f5c299aa0432b3502fa,5269.314258,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,1136.408071,Wallet,0
0x7835f73a5ec19f4fbe7e542cdfbf68675534b74c84f4d7eed89950c1b0a469b9,2022-04-17 11:31:22 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xc4ff293174198e9aeb8f655673100eeedcbbfb1a,9600,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,2070.386572,Wallet,0
0xecaadb85681004146d2883cece2e1d8fbf0fd497640cf36f3656baf8df991fba,2022-04-17 11:30:21 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x679b4172e1698579d562d1d8b4774968305b80b2,3100,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,668.5623305,Wallet,0
0x31817c30cd8a7740473a0d4dcf30637f9bd8f724d40620decc67e3fc210879bf,2022-04-17 11:25:06 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xad503b72fc36a699bf849bb2ed4c3db1967a73da,5811.03612,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,1253.238662,Wallet,0
0xc83c6f9ed3edba24afc1a9ecbf45df535fd45b5a47240b52d42679d1d68ab9ee,2022-04-17 11:15:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,73510.37195,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,15853.63406,DEX,0
0xc83c6f9ed3edba24afc1a9ecbf45df535fd45b5a47240b52d42679d1d68ab9ee,2022-04-17 11:15:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7aaee144a14ec3ba0e468c9dcf4a89fdb62c5aa6,1.20E-17,ETH,0x0000000000000000000000000000000000000000,,3.68E-14,Wallet,0
0xc83c6f9ed3edba24afc1a9ecbf45df535fd45b5a47240b52d42679d1d68ab9ee,2022-04-17 11:15:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,24.71263853,ETH,0x0000000000000000000000000000000000000000,,75777.79721,Smart Contract,0
0x59fc8fd40cfd44ee59046f6bcc6a4f88b57158eb931b33b3de1a070cb6bf3eda,2022-04-17 11:12:03 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.890266671,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,2718.247604,DEX,0
0x59fc8fd40cfd44ee59046f6bcc6a4f88b57158eb931b33b3de1a070cb6bf3eda,2022-04-17 11:12:03 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,2648.192908,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,571.123233,DEX,0
0x59fc8fd40cfd44ee59046f6bcc6a4f88b57158eb931b33b3de1a070cb6bf3eda,2022-04-17 11:12:03 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,2655.943229,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,572.794708,DEX,0
0x8e3d8883f39f98f5db3461a06875897f2d8f5a3c58b101da5be7786b8ef8f0a7,2022-04-17 11:10:15 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.538601026,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,1644.508321,DEX,0
0x8e3d8883f39f98f5db3461a06875897f2d8f5a3c58b101da5be7786b8ef8f0a7,2022-04-17 11:10:15 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1601.863265,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,345.4662702,DEX,0
0x8e3d8883f39f98f5db3461a06875897f2d8f5a3c58b101da5be7786b8ef8f0a7,2022-04-17 11:10:15 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1606.603478,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,346.4885695,DEX,0
0x84230611ac7467fac4aa6bc601a1f040ded7d379dfaf750cb9c651b245abd5f6,2022-04-17 11:09:32 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.710145182,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,2168.283394,DEX,0
0x84230611ac7467fac4aa6bc601a1f040ded7d379dfaf750cb9c651b245abd5f6,2022-04-17 11:09:32 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,2111.846332,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,455.451905,DEX,0
0x84230611ac7467fac4aa6bc601a1f040ded7d379dfaf750cb9c651b245abd5f6,2022-04-17 11:09:32 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,2118.062157,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,456.7924425,DEX,0
0x58f0528c06d5de4117280064cf3876c8dc03bddce7c4ba508e5e9b0f1773f8ab,2022-04-17 11:05:41 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.501967458,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,1532.655197,DEX,0
0x58f0528c06d5de4117280064cf3876c8dc03bddce7c4ba508e5e9b0f1773f8ab,2022-04-17 11:05:41 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1492.56725,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,321.8949158,DEX,0
0x58f0528c06d5de4117280064cf3876c8dc03bddce7c4ba508e5e9b0f1773f8ab,2022-04-17 11:05:41 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,1496.989096,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,322.8485544,DEX,0
0xf63bc6dc3aa46adb6cac5e4a2dfcac20ac66c3b40f177460593281e4a93b1d56,2022-04-17 11:04:41 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,16.42,ETH,0x0000000000000000000000000000000000000000,,50349.59859,Smart Contract,0
0x2ca1f510c0561c020384851f18b239762aa5efe3ed88780827d74a2a7ca876e2,2022-04-17 10:41:09 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.333835106,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,1019.297371,DEX,0
0x2ca1f510c0561c020384851f18b239762aa5efe3ed88780827d74a2a7ca876e2,2022-04-17 10:41:09 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,995.58237,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,214.7125385,DEX,0
0x2ca1f510c0561c020384851f18b239762aa5efe3ed88780827d74a2a7ca876e2,2022-04-17 10:41:09 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,998.547302,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,215.3519714,DEX,0
0xfa6d72f60c8b593527815291cf725eb2f07044d08e5cbe26e7988ffec99ea307,2022-04-17 10:34:14 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xf3659fa421ddc3517d7a37370a727c717ce7855e,1.00E-06,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,2.16E-07,Wallet,0
0xfa6d72f60c8b593527815291cf725eb2f07044d08e5cbe26e7988ffec99ea307,2022-04-17 10:34:14 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.07488759,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,228.6539738,DEX,0
0xfa6d72f60c8b593527815291cf725eb2f07044d08e5cbe26e7988ffec99ea307,2022-04-17 10:34:14 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,223.320348,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,48.16244268,DEX,0
0xfa6d72f60c8b593527815291cf725eb2f07044d08e5cbe26e7988ffec99ea307,2022-04-17 10:34:14 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.07511241,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,229.3404158,DEX,0
0xfa6d72f60c8b593527815291cf725eb2f07044d08e5cbe26e7988ffec99ea307,2022-04-17 10:34:14 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.15,ETH,0x0000000000000000000000000000000000000000,,459.9537021,Token,0
0x45e7ce25d5e6a0c398ddd88991c0026641f7351cd80912cec2b12db49e794b54,2022-04-17 10:29:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.158866775,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,485.0672776,DEX,0
0x45e7ce25d5e6a0c398ddd88991c0026641f7351cd80912cec2b12db49e794b54,2022-04-17 10:29:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,473.759051,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,102.1733727,DEX,0
0x45e7ce25d5e6a0c398ddd88991c0026641f7351cd80912cec2b12db49e794b54,2022-04-17 10:29:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,475.17763,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,102.4793109,DEX,0
0x52ab714fffce90d741a932cd26f35fbdc806916f319aad6de2d80591061eb524,2022-04-17 10:29:26 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.191902857,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,585.9362123,DEX,0
0x52ab714fffce90d741a932cd26f35fbdc806916f319aad6de2d80591061eb524,2022-04-17 10:29:26 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,572.259683,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,123.4165378,DEX,0
0x52ab714fffce90d741a932cd26f35fbdc806916f319aad6de2d80591061eb524,2022-04-17 10:29:26 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,573.971451,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,123.7857067,DEX,0
0xada27bea3ae05c1b26a719aea4c5327567358c4b9ec3c1dc6b7758f82509070f,2022-04-17 10:27:16 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x51a418f72115b30d092f2a2fa271b74cf21c528b,1804.277402,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,389.1199693,Wallet,0
0x5e0673b98f0932dac090f06139b292eeee4c0f405cc590f675ff656a72a204d5,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.42,ETH,0x0000000000000000000000000000000000000000,,1287.870366,Smart Contract,0
0x128f7248a46860894ed4e783b71304afa087ca6b39127a2e93755ffba38d1407,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xc52a0b002ac4e62be0d269a948e55d126a48c767,0.08097,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,0.017462417,Wallet,0
0x128f7248a46860894ed4e783b71304afa087ca6b39127a2e93755ffba38d1407,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.249613724,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,762.1445677,DEX,0
0x128f7248a46860894ed4e783b71304afa087ca6b39127a2e93755ffba38d1407,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,744.38626,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,160.5382622,DEX,0
0x128f7248a46860894ed4e783b71304afa087ca6b39127a2e93755ffba38d1407,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.250386276,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,764.5033976,DEX,0
0x128f7248a46860894ed4e783b71304afa087ca6b39127a2e93755ffba38d1407,2022-04-17 10:17:50 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.5,ETH,0x0000000000000000000000000000000000000000,,1533.179007,Token,0
0x2117d151dc9ee4560b193ecf22f5d3560ef278c2a71f4c0ce665a98eaa1b133d,2022-04-17 10:09:51 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x2f62960f4da8f18ff4875d6f0365d7dbc3900b8c,680.393262,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,146.7371951,Wallet,0
0x83a994c65aff934e431d3baf3c2bd87d1712b077c34b99957aa29a6fe161221b,2022-04-17 10:03:44 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x5ed417274e1acd3a1fd2c9d9b37efd5c076954e4,8653.919352,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,1866.349835,Wallet,0
0x6566bb51507e0ad50a246e404cf9993270d9987697f6489992eab426dbc957c0,2022-04-17 10:03:19 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.2,ETH,0x0000000000000000000000000000000000000000,,613.2716028,Smart Contract,0
0x60b369eb38717843b22e9786fbe676c685293bb6afea1eaecbc4e71413255879,2022-04-17 10:02:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.29957931,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,914.7042881,DEX,0
0x60b369eb38717843b22e9786fbe676c685293bb6afea1eaecbc4e71413255879,2022-04-17 10:02:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,893.476317,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,192.6918093,DEX,0
0x60b369eb38717843b22e9786fbe676c685293bb6afea1eaecbc4e71413255879,2022-04-17 10:02:38 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,896.140002,BEAN,0xdc59ac4fefa32293a95889dc396682858d52e5db,ERC20,193.2662736,DEX,0
0x801b696cfaabcdc4cad4421acbd94913bbafc3a915f001cc132469710508e7f6,2022-04-17 09:56:31 +0000,0xc1e088fc1323b20bcbee9bd1b9fc9546db5624c5,0x87898263b6c5babe34b4ec53f22d98430b91e371,0.326303773,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ERC20,996.3019822,DEX,0
